,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
5505,2023-563283,2023-06-28,1,Vente,1025000.0,9.0,,RUE VICTORIEN SARDOU,9767,75016.0,75116,Paris 16e Arrondissement,75,,,75116000AI0070,,,26,,,,,,,,,,1,2.0,Appartement,73.0,4.0,,,,,,2.267312,48.842899
5506,2023-563286,2023-06-30,1,Vente,711500.0,46.0,,RUE PAUL BELMONDO,7121,75012.0,75112,Paris 12e Arrondissement,75,,,75112000DZ0044,,,4,65.44,,,,,,,,,1,2.0,Appartement,65.0,2.0,,,,,,2.38293,48.836696
5507,2023-563287,2023-06-15,1,Vente,750000.0,25.0,,RUE DU DOCTEUR FINLAY,2830,75015.0,75115,Paris 15e Arrondissement,75,,,75115000DQ0022,,,37,,,,,,,,,,1,2.0,Appartement,71.0,3.0,,,,,,2.289625,48.852157
5508,2023-563291,2023-06-15,1,Vente,190000.0,15.0,,AV DU BEL AIR,809,75012.0,75112,Paris 12e Arrondissement,75,,,75112000CM0037,,,41,24.75,,,,,,,,,1,2.0,Appartement,15.0,1.0,,,,,,2.396959,48.846291
5509,2023-563293,2023-06-16,1,Vente,2755000.0,236.0,,BD RASPAIL,8045,75014.0,75114,Paris 14e Arrondissement,75,,,75114000AK0006,,,55,,,,,,,,,,1,2.0,Appartement,131.0,3.0,,,,,,2.330219,48.838845
5510,2023-563296,2023-06-08,1,Vente,255000.0,90.0,,AV PHILIPPE AUGUSTE,7380,75011.0,75111,Paris 11e Arrondissement,75,,,75111000CL0059,,,60,,,,,,,,,,1,2.0,Appartement,39.0,2.0,,,,,,2.391975,48.855444
5511,2023-563300,2023-06-22,1,Vente,410000.0,13.0,,RUE DU PETIT PONT,7344,75005.0,75105,Paris 5e Arrondissement,75,,,75105000BQ0032,,,6,33.4,,,,,,,,,1,2.0,Appartement,34.0,1.0,,,,,,2.346625,48.85238
5512,2023-563303,2023-06-30,1,Vente,991300.0,200.0,,AV DU MAINE,5922,75014.0,75114,Paris 14e Arrondissement,75,,,75114000CJ0007,,,31,,,,,,,,,,1,2.0,Appartement,82.0,3.0,,,,,,2.325337,48.830523
5513,2023-563306,2023-06-27,1,Vente,389140.0,14.0,,RUE CLOUET,2149,75015.0,75115,Paris 15e Arrondissement,75,,,75115000CY0055,,,9,,,,,,,,,,1,2.0,Appartement,32.0,2.0,,,,,,2.304443,48.846375
5514,2023-563307,2023-06-29,1,Vente,1661000.0,18.0,,AV DU COL BONNET,2199,75016.0,75116,Paris 16e Arrondissement,75,,,75116000CJ0017,,,20,125.3,,,,,,,,,1,2.0,Appartement,130.0,4.0,,,,,,2.27796,48.855976
