IRIS;DEC_PIMP20;DEC_TP6020;DEC_Q120;DEC_MED20;DEC_Q320;DEC_EQ20;DEC_D120;DEC_D220;DEC_D320;DEC_D420;DEC_D620;DEC_D720;DEC_D820;DEC_D920;DEC_RD20;DEC_S80S2020;DEC_GI20;DEC_PACT20;DEC_PTSA20;DEC_PCHO20;DEC_PBEN20;DEC_PPEN20;DEC_PAUT20;DEC_NOTE20
792700104;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
793290101;s;s;8150;15480;21280;0,85;830;6100;9640;13140;17800;20190;22760;27240;32,8;15,0;0,367;48,5;43,4;3,9;1,2;49,7;1,8;0
793290103;38,8;29,4;11170;18480;25430;0,77;4240;9370;13250;16040;20760;23620;27490;34930;8,2;10,5;0,375;53,6;46,4;2,7;4,5;40,3;6,1;0
793290104;37,9;23,1;13740;18930;25940;0,64;8370;12750;15000;17150;21310;24180;27940;34910;4,2;6,0;0,335;48,5;42,4;2,7;3,4;46,8;4,7;0
793290105;32,0;33,1;10330;17370;22920;0,72;4810;9000;11710;15090;19790;21730;24280;29500;6,1;8,3;0,337;52,4;47,2;3,7;1,5;44,5;3,1;0
793290106;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
793290107;42,4;26,7;12450;19860;28270;0,80;3830;9850;14400;17400;22600;26110;31260;41800;10,9;14,5;0,422;57,4;48,0;3,2;6,2;33,4;9,2;0
793290201;42,8;15,6;15620;20240;26400;0,53;11090;14430;16530;18570;22360;24810;28030;34770;3,1;4,6;0,307;54,1;47,7;2,4;4,0;37,3;8,6;0
793290202;41,0;15,4;15510;19870;25390;0,50;10820;14300;16710;18090;21940;23800;26430;31780;2,9;4,0;0,272;66,0;58,0;2,9;5,1;26,7;7,3;0
800010101;41,0;30,1;11320;18350;26760;0,84;4110;9260;13080;15950;21410;24850;29490;38720;9,4;11,8;0,395;56,2;48,3;2,8;5,1;38,6;5,2;0
800010102;39,6;33,0;10860;18240;25400;0,80;4040;8850;12240;15310;21020;23660;28410;38440;9,5;12,4;0,405;58,9;51,1;3,1;4,7;35,5;5,6;0
800010201;34,0;34,2;9740;16800;23530;0,82;2650;7910;11810;14610;19230;21940;25160;31540;11,9;12,1;0,374;62,2;54,0;3,7;4,5;34,9;2,9;0
800010301;s;s;10450;16810;23220;0,76;4280;8730;11960;14640;19090;21540;24720;28590;6,7;8,5;0,336;60,5;55,0;4,1;1,4;35,9;3,6;0
800010401;42,5;31,3;10920;19220;28880;0,93;4500;9170;12800;16190;22490;26300;31130;40780;9,1;12,0;0,397;60,8;52,6;3,2;5,0;33,9;5,3;0
800010501;28,7;46,7;5770;14350;22530;1,17;380;3930;7560;10420;17340;20780;24290;30170;79,6;28,8;0,431;58,2;51,6;4,4;2,2;39,1;2,7;0
