;IRIS;DEC_PIMP20;DEC_TP6020;DEC_Q120;DEC_MED20;DEC_Q320;DEC_EQ20;DEC_D120;DEC_D220;DEC_D320;DEC_D420;DEC_D620;DEC_D720;DEC_D820;DEC_D920;DEC_RD20;DEC_S80S2020;DEC_GI20;DEC_PACT20;DEC_PTSA20;DEC_PCHO20;DEC_PBEN20;DEC_PPEN20;DEC_PAUT20;DEC_NOTE20;keep
9778;751020501;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9779;751020502;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9780;751020503;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9781;751020601;75,5;s;22780;41730;69000;1,11;11790;18320;27560;34550;49250;61560;82170;128230;10,9;15,2;0,480;78,3;67,1;3,1;8,1;9,3;12,4;0;1
9782;751020602;72,4;s;21810;39470;66470;1,13;10440;18960;25210;30890;50160;62030;77100;106470;10,2;16,2;0,496;75,5;65,0;2,6;7,9;9,8;14,7;0;1
9783;751020701;73,8;14,5;19260;36620;63550;1,21;9460;16970;23500;30420;44750;55370;70970;99270;10,5;15,9;0,487;79,6;70,5;3,0;6,1;11,2;9,2;0;1
9784;751020702;75,7;15,0;20880;37730;61780;1,08;9570;17120;23890;30170;46090;55880;73460;110160;11,5;18,9;0,527;78,7;68,7;2,5;7,5;10,1;11,2;0;1
9785;751020703;72,7;17,2;18280;36440;64080;1,26;7410;15140;22080;28900;45310;55550;71220;105800;14,3;20,6;0,528;76,9;67,5;2,9;6,5;7,5;15,6;0;1
9786;751020704;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9787;751020801;68,0;21,4;15050;32040;53660;1,21;6960;12370;18310;25740;38470;48750;62910;86490;12,4;19,0;0,499;84,5;72,2;3,8;8,5;7,3;8,2;0;1
9788;751020802;72,4;16,9;19090;36400;62370;1,19;8570;15580;22790;29440;43980;54930;71440;107570;12,6;16,8;0,479;79,0;68,8;3,5;6,7;10,8;10,2;0;1
9789;751020803;70,2;17,7;16920;34180;59890;1,26;7990;14470;21280;27160;41130;52030;69540;95350;11,9;16,3;0,469;80,2;71,7;3,5;5,0;10,7;9,1;0;1
9790;751020804;67,6;18,9;16370;32300;53150;1,14;6950;13630;19370;25150;39930;47240;59350;82300;11,8;15,5;0,464;88,5;75,0;4,5;9,0;6,0;5,5;0;1
9791;751020805;67,8;20,6;16100;30160;53160;1,23;6880;13130;18830;24030;38730;47140;60450;83710;12,2;16,6;0,472;87,9;78,2;4,0;5,7;7,5;4,6;0;1
9792;751030901;72,8;16,6;19410;34500;56190;1,07;7720;16230;23490;29410;40860;51210;62810;95290;12,3;13,7;0,438;79,4;69,7;3,4;6,3;13,1;7,5;0;1
9793;751030902;71,7;17,4;18540;34790;56540;1,09;6780;15650;20910;27660;41990;51850;61130;82920;12,2;14,7;0,432;81,7;72,5;3,9;5,3;11,8;6,5;0;1
9794;751030903;71,1;15,6;18980;36800;59290;1,10;8060;16380;23000;29840;44510;53240;65700;88020;10,9;14,7;0,456;83,4;70,3;3,5;9,6;8,9;7,7;0;1
9795;751030904;68,2;22,0;15470;30220;48800;1,10;5200;11500;18280;24050;36660;43580;55180;75950;14,6;18,3;0,465;83,7;72,9;4,5;6,3;8,8;7,5;0;1
9796;751030905;71,6;17,3;17600;33640;58330;1,21;8330;15090;19990;26170;43560;52900;68140;103540;12,4;19,2;0,528;76,4;66,9;3,3;6,2;10,5;13,1;0;1
9797;751031001;70,2;16,4;19270;36040;58310;1,08;7450;14960;21930;29110;43760;53210;66770;87780;11,8;16,6;0,469;76,9;65,3;3,6;8,0;11,7;11,4;0;1
9798;751031002;74,4;13,2;22050;40710;67540;1,12;10450;18620;26310;33860;49110;60850;77060;122020;11,7;16,4;0,485;76,4;62,3;2,7;11,4;12,8;10,8;0;1
9799;751031003;73,8;14,9;21240;37800;63890;1,13;9320;17080;24510;30940;45350;56570;74160;111130;11,9;23,2;0,567;74,4;64,9;2,8;6,7;10,1;15,5;0;1
9800;751031004;71,8;12,8;22900;40940;77180;1,33;10660;18260;26000;33010;50190;62710;92060;151910;14,3;24,4;0,579;74,6;57,7;2,4;14,5;9,5;15,9;0;1
9801;751031101;74,3;14,2;20750;41890;71930;1,22;9620;16800;24650;33540;51230;61440;81820;121540;12,6;19,5;0,513;78,2;65,2;2,5;10,5;12,7;9,1;0;1
9802;751031102;s;s;19650;38500;69150;1,29;8180;15390;22650;30110;48700;60240;81290;123120;15,1;22,5;0,521;71,5;56,8;2,7;12,0;15,3;13,2;0;1
9803;751031103;74,4;13,8;23600;40960;71840;1,18;9700;19370;27190;33530;51810;63530;82200;113930;11,7;43,2;0,713;83,0;30,3;0,9;51,8;8,7;8,3;0;1
9804;751031104;76,5;11,5;23930;43720;72000;1,10;11870;20020;28080;34630;53060;64500;83700;130230;11,0;17,7;0,523;70,6;59,5;2,3;8,8;13,2;16,2;0;1
9805;751031201;69,0;17,6;17940;33520;57450;1,18;6230;14980;21250;27070;41080;51180;65950;95190;15,3;20,0;0,511;77,0;64,1;2,9;10,0;12,6;10,4;0;1
9806;751031202;72,6;16,6;18300;34920;61390;1,23;7590;15690;21750;28140;42330;52060;69990;107220;14,1;18,8;0,504;71,2;59,9;2,7;8,6;14,3;14,5;0;1
9807;751031203;71,9;14,9;18360;33100;52300;1,03;9560;16170;21390;26970;39560;46770;60190;88330;9,2;12,9;0,463;72,5;64,2;2,9;5,4;17,7;9,8;0;1
9808;751031204;72,0;18,2;16410;33330;54800;1,15;6130;13720;20390;27000;39530;48600;60390;86370;14,1;18,0;0,478;82,0;70,0;4,2;7,8;8,8;9,2;0;1
9809;751041301;71,2;16,4;20450;37210;63920;1,17;6940;16690;23330;29520;46520;57130;73530;107150;15,4;23,1;0,547;78,2;68,4;2,6;7,2;12,1;9,7;0;1
9810;751041302;71,2;16,4;18000;34490;57730;1,15;7490;15010;21450;27240;42220;51520;66160;95370;12,7;16,7;0,475;76,3;65,0;4,4;6,9;11,1;12,6;0;1
9811;751041303;67,6;20,4;17150;32640;56360;1,20;5450;12730;19590;26200;39260;50470;62530;92850;17,0;20,9;0,494;78,7;66,9;3,5;8,3;13,2;8,1;0;1
9812;751041304;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9813;751041305;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9814;751041399;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9815;751041401;58,9;27,2;11900;24150;41270;1,22;4030;9400;14190;18900;29740;36510;46080;67930;16,8;23,8;0,512;64,1;54,8;3,7;5,6;21,5;14,4;0;1
9816;751041402;71,2;16,0;18470;33880;55790;1,10;8850;15680;21570;28300;40380;50560;63190;98110;11,1;15,4;0,474;72,4;60,1;3,1;9,2;16,5;11,1;0;1
9817;751041403;70,2;18,0;17890;33250;58700;1,23;7710;14670;21530;27450;41660;51110;65940;96710;12,6;22,5;0,555;72,3;58,7;3,0;10,6;12,6;15,1;0;1
9818;751041404;73,4;13,8;20200;33130;56020;1,08;9700;17450;22430;27670;41000;49800;63220;94260;9,7;14,2;0,476;72,9;60,0;2,8;10,1;15,2;11,9;0;1
9819;751041499;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9820;751041501;70,9;16,5;19310;32010;53170;1,06;7260;15880;22410;26810;38750;47840;61260;88830;12,2;17,0;0,491;72,6;63,1;2,2;7,3;15,2;12,2;0;1
9821;751041502;73,3;14,9;21100;40080;68460;1,18;7150;17900;25490;34040;49730;58950;74830;101910;14,3;18,8;0,484;64,0;56,9;1,8;5,3;18,3;17,7;0;1
9822;751041503;77,3;s;25230;43410;71020;1,05;13580;20890;29520;35700;52500;64460;84350;123350;9,1;12,9;0,469;72,3;61,9;1,9;8,5;14,0;13,7;0;1
9823;751041504;75,5;13,9;22380;38770;62710;1,04;9690;18700;25610;31720;46620;57570;70630;109920;11,3;17,3;0,503;65,3;52,8;2,5;10,0;17,8;16,9;0;1
9824;751041588;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9825;751041599;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9826;751041601;74,5;14,6;22980;42480;74070;1,20;9260;18820;27390;34250;52720;65020;86660;129220;14,0;32,0;0,628;51,7;42,3;1,9;7,5;16,7;31,6;0;1
9827;751041602;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9828;751041603;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
